attraction-area	:	8.279968e-01	7.946840e-01	8.029029e-01
attraction-name	:	8.970904e-01	8.725251e-01	8.673359e-01
attraction-type	:	8.146289e-01	7.876322e-01	7.904232e-01
bus-day	:	9.999119e-01	1.000000e+00	1.000000e+00
bus-departure	:	9.994540e-01	1.000000e+00	1.000000e+00
bus-destination	:	9.994188e-01	1.000000e+00	1.000000e+00
bus-leaveAt	:	9.999119e-01	1.000000e+00	1.000000e+00
hospital-department	:	9.930959e-01	9.990507e-01	1.000000e+00
hotel-area	:	8.082884e-01	8.178736e-01	8.619099e-01
hotel-book day	:	8.459791e-01	8.494711e-01	8.621812e-01
hotel-book people	:	8.461728e-01	8.506916e-01	8.638090e-01
hotel-book stay	:	8.465075e-01	8.510985e-01	8.640803e-01
hotel-internet	:	8.588890e-01	8.635747e-01	8.728974e-01
hotel-name	:	8.481630e-01	8.397071e-01	8.431905e-01
hotel-parking	:	8.559477e-01	8.799837e-01	8.753391e-01
hotel-price range	:	8.275212e-01	8.213995e-01	8.274552e-01
hotel-stars	:	8.356758e-01	8.459452e-01	8.556701e-01
hotel-type	:	8.219381e-01	8.300787e-01	8.437330e-01
restaurant-area	:	7.403748e-01	7.492541e-01	7.428106e-01
restaurant-book day	:	8.411180e-01	8.379441e-01	8.260988e-01
restaurant-book people	:	8.410300e-01	8.384866e-01	8.254205e-01
restaurant-book time	:	8.422276e-01	8.391646e-01	8.273196e-01
restaurant-food	:	7.165275e-01	7.512883e-01	7.341291e-01
restaurant-name	:	8.715524e-01	8.449959e-01	8.518719e-01
restaurant-price range	:	7.462045e-01	7.666124e-01	7.578676e-01
taxi-arrive by	:	9.684033e-01	9.673176e-01	9.686652e-01
taxi-departure	:	9.288985e-01	9.201248e-01	9.226804e-01
taxi-destination	:	9.276480e-01	9.212097e-01	9.221378e-01
taxi-leave at	:	9.618690e-01	9.515867e-01	9.564569e-01
train-arrive by	:	8.681179e-01	8.125848e-01	7.997830e-01
train-book people	:	8.911902e-01	8.524546e-01	8.491590e-01
train-day	:	7.290500e-01	6.623271e-01	6.471785e-01
train-departure	:	7.239776e-01	6.596149e-01	6.523332e-01
train-destination	:	7.190637e-01	6.483591e-01	6.389040e-01
train-leave at	:	8.667970e-01	8.527258e-01	8.499729e-01
